# Thermodynamic and Transport Properties of Gases over the Temperature of H2, taken from the "Handbook of Thermal Plasma", 2023 edition (DOI: https://doi.org/10.1007/978-3-030-84936-8), By Boulos. Data are taken directly from table 3 (page 1851).
T(K),Density (kg/m3),Enthalpy (J/kg),Spec heat (J/kg.K),Viscosity (kg/m.s),Therm cond (W/m.K),Elec cond (S/m)
300,9.06E-2,0.000E+00,1.43E+04,9.000E-06,0.182E-01,1.400E-18
400,6.06E-2,5.503E+06,1.45E+04,1.074E-05,2.127E-01,1.451E-18
500,4.85E-2,6.948E+06,1.46E+04,1.241E-05,2.458E-01,1.522E-18
600,4.04E-2,8.403E+06,1.46E+04,1.396E-05,2.744E-01,1.578E-18
700,3.46E-2,9.867E+06,1.47E+04,1.543E-05,3.031E-01,1.622E-18
800,3.03E-2,1.134E+07,1.47E+04,1.681E-05,3.306E-01,1.663E-18
900,2.69E-2,1.281E+07,1.47E+04,1.814E-05,3.570E-01,1.698E-18
1000,2.42E-02,1.428E+07,1.48E+04,1.942-05,3.828E-01,1.728E-18
1100,2.20E-02,1.576E+07,1.48E+04,2.065-05,4.082E-01,1.754E-18
1200,2.02E-02,1.723E+07,1.49E+04,2.189-05,4.348E-01,1.788E-18
1300,1.87E-02,1.872E+07,1.50E+04,2.32E-05,4.632E-01,1.820E-18
1400,1.73E-02,2.022E+07,1.52E+04,2.44E-05,4.938E-01,1.849E-18
1500,1.62E-02,2.178E+07,1.54E+04,2.57E-05,5.249E-01,1.875E-18
1600,1.52E-02,2.334E+07,1.57E+04,2.70E-05,5.599E-01,1.727E-17
1700,1.43E-02,2.492E+07,1.61E+04,2.83E-05,5.997E-01,5.192E-16
1800,1.35E-02,2.655E+07,1.65E+04,2.96E-05,6.478E-01,1.074E-14
1900,1.28E-02,2.823E+07,1.71E+04,3.09E-05,7.104E-01,1.619E-13
2000,1.21E-02,2.998E+07,1.80E+04,3.21E-05,7.967E-01,1.874E-12
2100,1.15E-02,3.184E+07,1.92E+04,3.34E-05,9.191E-01,1.717E-11
2200,1.10E-02,3.384E+07,2.10E+04,3.46E-05,1.094E+00,1.283E-10
2300,1.05E-02,3.607E+07,2.35E+04,3.59E-05,1.343E+00,8.020E-10
2400,1.00E-02,3.858E+07,2.70E+04,3.71E-05,1.688E+00,4.277E-09
2500,9.56E-03,4.150E+07,3.15E+04,3.84E-05,2.158E+00,1.979E-08
2600,9.13E-03,4.493E+07,3.75E+04,3.97E-05,2.780E+00,8.071E-08
2700,8.70E-03,4.904E+07,4.50E+04,4.10E-05,3.580E+00,2.937E-07
2800,8.28E-03,5.398E+07,5.42E+04,4.23E-05,4.579E+00,9.646E-07
2900,7.86E-03,5.995E+07,6.55E+04,4.37E-05,5.790E+00,2.890E-06
3000,7.43E-03,6.715E+07,7.87E+04,4.50E-05,7.207E+00,7.968E-06
3100,7.00E-03,7.577E+07,9.40E+04,4.63E-05,8.803E+00,2.039E-05
3200,6.57E-03,8.600E+07,1.11E+05,4.75E-05,1.052E+01,4.881E-05
